THCIC_ID	PROVIDER_NAME	FAC_TEACHING_IND	FAC_PSYCH_IND	FAC_REHAB_IND	FAC_ACUTE_CARE_IND	FAC_SNF_IND	FAC_LONG_TERM_AC_IND	FAC_OTHER_LTC_IND	FAC_PEDS_IND	
652000	Texas Health Specialty Hospital-Fort Worth				X		X		
653001	UT Southwestern University Hospital-Zale Lipshy	A	X	X	X				
654000	Golden Plains Community Hospital				X				
657000	Kindred Hospital-Mansfield						X		
659000	HEALTHSOUTH Rehab Hospital			X					
660000	HEALTHSOUTH Rehab Hospital-Arlington			X					
661001	Texas Specialty Hospital-Dallas						X		
662000	HEALTHSOUTH City View Rehab Hospital			X					
663000	HEALTHSOUTH Rehab Hospital-Austin			X					
664000	Texas Health Presbyterian Hospital-Plano				X				X
665000	Central Texas Hospital				X				
670000	HEALTHSOUTH Plano Rehab Hospital			X					
670001	Mesquite Rehab Hospital			X					
671000	HEALTHSOUTH Rehab Hospital-Beaumont			X					
672000	Select Specialty Hospital-Dallas						X		
674000	TOPS Surgical Specialty Hospital				X				
675000	Kingwood Medical Center			X	X	X			X
676000	Kindred Hospital-Houston Medical Center						X		
677001	North Central Baptist Hospital				X				
678000	Kindred Hospital Midtown				X		X		
679000	Burleson St Joseph Health Center-Caldwell				X				
680000	Kindred Rehab Hospital Clear Lake			X					
680001	Reliant Rehab Hospital Dallas			X					
681001	Methodist Ambulatory Surgery Hospital-Northwest				X				
681400	Kell West Regional Hospital				X				
684000	HEALTHSOUTH Rehab Hospital-Texarkana			X					
685000	HEALTHSOUTH Rehab Hospital-Wichita Falls			X					
686000	Covenant Childrens Hospital				X				C
688000	Hendrick Center- Extended Care						X		
689401	CHRISTUS Spohn Hospital Alice				X				
690000	Kindred Hospital-Tarrant County				X		X		
690600	LifeCare Hospital-Fort Worth			X	X		X		
691000	Memorial Specialty Hospital				X		X		
692000	Trinity Mother Frances Rehab Hospital			X					
693000	HEALTHSOUTH Rehab Hospital-Midland/Odessa			X					
694100	Surgery Specialty Hospitals of America-Southeast Housto				X				
695000	HEALTHSOUTH Rehab Hospital The Woodlands			X					
698004	Cornerstone Hospital Houston-Clear Lake						X		
698005	Cornerstone Hospital Houston-Bellaire						X		
699000	Corpus Christi Specialty Hospital			X			X		
700000	Cornerstone Hospital-Austin				X		X		
700003	Reliant Rehab Hospital Mid-Cities			X					
701000	Mesa Hills Specialty Hospital				X		X		
702001	Acuity Hospital South Texas			X			X		
703000	Corpus Christi Medical Center-Bay Area				X				
703002	Corpus Christi Medical Center-Doctors Regional				X				
703003	Corpus Christi Medical Center-Heart Hospital				X				
704004	Corpus Christi Medical Center-Northwest		X						
706000	Kindred Hospital Houston NW						X		
708000	CHRISTUS Dubuis Hospital-Beaumont				X		X		
708001	CHRISTUS Dubuis Hospital-Port Arthur				X				
709001	Red River Hospital		X						
710000	Our Childrens House Baylor								C
711900	Big Bend Regional Medical Center				X				
712500	HealthBridge Childrens Hospital-Houston								X
713001	CHRISTUS St Michael Rehab Hospital			X					
713400	Kindred Hospital North Houston						X		
714000	Northwest Texas Surgery Center								
714500	Ennis Regional Medical Center				X				
715001	Texas Specialty Hospital-Houston						X		
715901	CHRISTUS St Catherine Hospital				X				X
716500	Padre Behavioral Hospital		X	X	X				
717000	LifeCare Hospital-Dallas			X			X		
717500	Physicians Centre Hospital				X				
718000	Devereux Texas Treatment Network		X						
718002	Highlands Regional Rehab Hospital			X					
719300	Select Specialty Hospital-San Antonio				X		X		
719400	Kindred Hospital-White Rock						X		
720000	Texas Health Seay Behavioral Health Center		X						
720400	Kindred Hospital East Houston				X		X		
720401	Kindred Hospital Baytown							X	
720402	Kindred Hospital Clear Lake							X	
723001	Laurel Ridge Treatment Center		X						
724200	Texas Health Presbyterian Hospital Allen				X				
724700	Methodist Willowbrook Hospital			X	X				
724900	Brownsville Doctors Hospital				X				
725400	Mother Frances Hospital-Jacksonville				X				
727100	Kindred Hospital El Paso						X		
728200	El Paso Specialty Hospital								
728800	Grimes St Joseph Health Center				X				
730001	Texas Health Heart & Vascular Hospital				X				
736000	DePaul Center		X						
737000	Clarity Child Guidance Center		X						
739001	Texas NeuroRehab Center		X				X		
740000	St Lukes Hospital at the Vintage				X				
744001	Cypress Creek Hospital		X						
747000	River Crest Hospital		X	X					
750000	Methodist Hospital for Surgery			X	X				
752000	Timberlawn Mental Health System		X						
754000	Glen Oaks Hospital		X						
755001	West Oaks Hospital		X	X					
758000	Houston Hospital for Specialized Surgery				X				
762001	IntraCare Medical Center Hospital		X						
763000	Plaza Specialty Hospital				X		X		
765001	Millwood Hospital		X						
766000	Green Oaks Hospital		X						
770000	Seton Shoal Creek Hospital		X						
777000	East Texas Medical Center Specialty Hospital				X		X		
778000	Texas Health Springwood Hospital		X						
782001	Intracare North Hospital		X						
784400	Baylor Heart & Vascular Center				X				
785900	Select Specialty Hospital-South Dallas						X		
786001	Southwest Regional Specialty Hospital						X		
786800	South Texas Spine & Surgical Hospital				X				
787400	Baylor Medical Center-Frisco				X				
787500	Dubuis Hospital-Paris						X		
788001	CHRISTUS St Michael Health System				X				
788002	Harlingen Medical Center		X		X				X
789800	LifeCare Hospital-Plano						X		
789900	Select Specialty Hospital-Midland						X		
790200	Texas Spine & Joint Hospital				X				
790500	Sugar Land Surgical Hospital				X				
791001	Regency Hospital-Odessa						X		
792000	Texas Orthopedic Hospital				X				
792100	Promise Specialty Hospital-Southeast Texas						X		
792600	Kindred Hospital Spring						X		
792601	Kindred Hospital Tomball						X		
792700	Kindred Hospital Sugar Land						X		
792702	Kindred Hospital Town & Country						X		
793000	Mainland Medical Center		X	X	X				
793100	St Lukes The Woodlands Hospital	X		X	X				
794000	Northwest Hills Surgical Hospital								
794200	Menninger Clinic		X						
794600	Select Specialty Hospital-Longview						X		
795000	Nexus Specialty Hospital Shenandoah Campus						X		
795001	Nexus Specialty Hospital			X	X		X		
796000	Plum Creek Specialty Hospital						X		
797001	Dubuis Hospital-Corpus Christi						X		
797100	Doctors Hospital-Renaissance				X				
797500	Seton Southwest Hospital				X				
797600	Seton Northwest Hospital				X				
798500	Austin Surgical Hospital				X				
799000	East Texas Medical Center Rehab Hospital			X					
799001	USMD Hospital-Arlington				X				
799200	Promise Hospital-San Antonio						X		
799500	Irving Coppell Surgical Hospital								
800000	Kindred Hospital-Tarrant County				X				
800010	Methodist West Houston Hospital			X	X				
800700	Kindred Hospital-Fort Worth								
801000	Kindred Hospital Bay Area						X		
801300	East El Paso Physicians Medical Center				X				
801500	Lubbock Heart Hospital				X				
802001	McAllen Medical Center		X		X				
803000	Community General Hospital Dilley Texas				X				
804000	Sunrise Canyon		X						
804100	Kindred Hospital-Corpus Christi						X	X	
804500	Baylor Surgical Hospital-Fort Worth				X				
805000	Plano Specialty Hospital						X		
805100	Baylor Medical Center Trophy Club								
806002	Cedar Crest Hospital		X		X				
806300	Centennial Medical Center				X				
806500	Tyler Continue Care Hospital						X		
806800	East Texas Medical Center-Gilmer				X				
807000	CHRISTUS Dubuis Hospital-Houston				X		X		
808500	Weslaco Rehab Hospital			X					
812000	Kindred Hospital Victoria						X		
812300	Southwest Surgical Hospital				X				
812800	Texas Health Harris Methodist Hospital Southlake				X				
813100	Texas Institute for Surgery-Texas Health Presbyterian-D				X				
813800	Memorial Hermann Specialty Hospital Kingwood				X				X
814000	Las Colinas Medical Center				X				
814001	Baylor Regional Medical Center-Plano				X				
815000	LifeCare Hospital-San Antonio							X	
815300	Texas Health Center-Diagnostics & Surgery Plano				X				
816001	Allegiance Behavioral Health Center-Plainview		X						
816300	Solara Hospital						X		
816301	Solara Hospital						X		
816500	North Texas Hospital								
818000	Kindred Hospital Amarillo				X		X		
818200	Pine Creek Medical Center				X				
818600	Kingwood Pines Hospital		X						
820002	Texas Specialty Hospital-Wichita Falls						X		
820600	Innova Hospital-San Antonio				X				
820800	Texas Health Presbyterian Hospital-Denton				X				
821001	LifeCare Hospital-South Texas-South						X		
821002	LifeCare Hospitals-South Texas - North								
821100	South Texas Rehab Hospital			X					
822000	Dubuis Hospital-Texarkana				X		X		
822001	Houston Physicians Hospital				X				
822100	Good Shepherd Medical Center-Linden				X	X			
822800	Westlake Medical Center				X				
823000	Methodist Sugar Land Hospital			X	X				
823400	St Marks Medical Center				X				
826800	University Behavioral Health-Denton		X						
829000	Heart Hospital-Austin				X				
829900	North Austin Medical Center				X				
830000	Cornerstone Regional Hospital				X				
831700	Mayhill Hospital		X		X				
831800	Kindred Rehabilitation Hospital Arlington			X					
831900	Foundation Surgical Hospital								
832900	Pampa Regional Medical Center				X				
833000	Gulf Coast Medical Center			X	X	X			
835700	St Davids Georgetown Hospital				X				
836300	Laredo Specialty Hospital						X		
837800	Hickory Trail Hospital		X						
838400	Memorial Hermann Rehab Hospital Katy			X					
838600	St Joseph Medical Center	X	X	X	X				
839100	Vibra Specialty Hospital						X		
839200	Regency Hospital - Fort Worth						X		
840000	Mesquite Specialty Hospital						X		
840100	First Street Hospital			X	X				
840200	University General Hospital				X				
840400	Doctors Diagnostic Hospital				X				X
840700	Solara Hospital Harlingen						X		
841300	El Paso LTAC Hospital						X		
841400	Kindred Rehabilitation Hospital Amarillo			X					
842800	Methodist Mansfield Medical Center				X				
843200	North Cypress Medical Center								
844000	Heart Hospital Baylor Plano				X				
844200	Integrity Transitional Hospital						X		
844600	Warm Springs Rehab Hospital-San Antonio			X		X			
844800	Weatherford Regional Medical Center				X				
846000	Acadia Abilene		X						
846100	St Lukes Patients Medical Center				X				
846200	Covenant Specialty Hospital						X		
847000	Texoma Medical Center		X	X	X				
847100	Memorial Hermann Northeast				X				
847200	Atrium Medical Center-Corinth						X		
847500	Solara Hospital-Brownsville Campus						X		
847600	Dubuis Hospital-Texarkana-Wadley						X		
848100	Warm Springs Specialty Hospital-Victoria			X			X		
848200	Warm Springs Specialty Hospital-Luling			X			X		
848600	Renaissance Hospital Terrell				X				
850200	Cook Childrens Northeast Hospital		X						
850300	Scott & White Continuing Care						X		
851400	Harbor Hospital-Southeast Texas						X		
851800	Hill Country Specialty Hospital						X		
852000	Dell Childrens Medical Center								C
852100	Foundation Bariatric Hospital-San Antonio				X				
852600	Scott & White Hospital Round Rock				X				
852900	Physicians Surgical Hospital-Quail Creek				X				
852901	Physicians Surgical Hospital-Panhandle Campus				X				
854000	Twin Creeks Hospital			X					
854100	Solara Hospital Conroe						X		
854400	Central Texas Rehab Hospital			X					
855200	Austin Lakes Hospital		X						
856300	Acuity Hospital-Houston						X		
858200	Ethicus Hospital DFW						X		
858300	Cedar Park Regional Medical Center				X				
858600	University Behavioral Health-El Paso		X						
859900	Texas Health Presbyterian Hospital-Rockwall				X				
860500	Shelby Regional Medical Center				X				X
860600	North Central Surgical Center				X				
861300	Reliant Rehab Hospital North Texas			X					
861400	USMD Hospital Fort Worth				X				
861700	Seton Medical Center Williamson				X				
861900	Kate Dishman Rehab Hospital			X					
862000	Methodist Rehab Hospital			X					
863300	CHRISTUS Santa Rosa Hospital New Braunfels			X	X				
864600	Carrus Specialty Hospital						X		
864800	CHRISTUS Dubuis Hospital-Bryan						X		
865000	Sierra Providence East Medical Center				X				
865800	TrustPoint Hospital		X	X	X				
865900	Icon Hospital						X		
866100	Reliant Rehab Hospital Central Texas			X					
868700	North Texas Community Hospital				X				
869700	St Lukes Sugar Land Hospital	X		X	X				
871500	Select Rehab Hospital-Denton			X					
872100	Global Rehab			X					
873700	Reliant Rehab Hospital North Houston			X					
873800	Global Rehab-Fort Worth			X					
874000	Atrium Medical Center						X		
874100	Methodist Stone Oak Hospital				X				
874500	BCA Permian Basin		X		X				
875300	Lifelong Independence and Fitness Enrichment Center			X		X			
900000	Forest Park Medical Center				X				
901100	Humble Surgical Hospital								
907000	Renaissance Hospital-Groves				X				
908000	South Hampton Community Hospital			X	X				
909000	St Anthonys Hospital				X				
914000	Kindred Hospital Dallas Central						X		
915000	Aspire Behavioral Health-Conroe		X		X				
916000	Emerus Hospital				X				
919000	Texas Regional Medical Center Sunnyvale				X				
920000	Reliant Rehab Hospital Abilene			X					
921000	Seton Medical Center Hays				X				
922000	The Hospital at Craig Ranch				X				
923000	St Lukes Lakeside Hospital			X	X				
924000	Allegiance Health Center Permian Basin		X		X				
931000	South Texas Surgical Hospital				X				
936000	Baylor Orthopedic and Spine Hospital - Arlington				X				
937000	Methodist McKinney Hospital			X	X				
938000	Basin Healthcare Center				X				
939000	GlobalRehab Hospital-San Antonio			X					
940000	Texas Specialty Hospital Lubbock						X		
941000	Kindred Hospital The Heights						X		
943000	Texas Health Presbyterian Hospital Flower Mound				X				X
944000	Behavioral Hospital Longview		X						
956000	Westbury Community Hospital		X		X				
957000	Carrus Rehab Hospital			X					
969000	HEALTHSOUTH Sugar Land Rehab Hospital			X					
969200	Behavioral Hospital-Bellaire		X						
